Category,Item,Serving Size,Calories,Calories from fat,TotalFat,Saturated Fat(g),Trans fat(g),Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Total Sugar(g),Protein(g)
Beverages,Fanta Orange,16 fl oz,230,0,0,0,0,0,60,62,0,61,0
Beverages,Fanta Orange,20 fl oz,280,0,0,0,0,0,70,78,0,77,0
Beverages,Fanta Orange,29 fl oz,410,0,0,0,0,0,105,113,0,111,0
Beverages,Fanta Orange,38 fl oz,540,0,0,0,0,0,135,148,0,146,0
Beverages,Hi-C Fruit Punch,16 fl oz,220,0,0,0,0,0,75,62,0,60,0
Beverages,Hi-C Fruit Punch,20 fl oz,280,0,0,0,0,0,95,77,0,75,0
Beverages,Hi-C Fruit Punch,29 fl oz,410,0,0,0,0,0,135,111,0,109,0
Beverages,Hi-C Fruit Punch,38 fl oz,530,0,0,0,0,0,180,146,0,143,0
Beverages,MINUTE MAID® Light Lemonade,16 fl oz,10,0,0,0,0,0,60,3,0,0,0
Beverages,MINUTE MAID® Light Lemonade,20 fl oz,10,0,0,0,0,0,70,4,0,0,0
Beverages,MINUTE MAID® Light Lemonade,29 fl oz,15,0,0,0,0,0,105,5,0,0,0
Beverages,MINUTE MAID® Light Lemonade,38 fl oz,20,0,0,0,0,0,135,7,0,0,0
Beverages,Sweet Tea,20 fl oz,120,0,0,0,0,0,0,35,0,35,0
Beverages,Sweet Tea,29 fl oz,160,0,0,0,0,0,0,49,0,49,0
Beverages,Sweet Tea,40 fl oz,240,0,0,0,0,0,0,71,0,71,0
Beverages,Unsweetened Tea,20 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,Unsweetened Tea,29 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,Unsweetened Tea,40 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,Capri Sun® 100% Apple Juice,1 pouch,80,0,0,0,0,0,25,20,0,20,0
Beverages,Minute Maid® Orange Juice,10 fl oz,140,0,0,0,0,0,20,33,0,30,2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
